"file","series","first","last","span","n","n_zero","med","min","max","out_z","out_val","out_year","n_series","med_span","n_short","frac_short","n_overlap","r","report","tier"
"northamerica/usa/mt170.rwl","POW10A",2006,2013,8,8,0,2.06,0.58,3.69,3.37650814663546,0.58,2013,408,72,13,0.0318627450980392,8,0.30010702207525,TRUE,"likely a real short core"
"europe/swit285.rwl","GRA14124",1988,1993,6,6,0,1.81,1.21,2.12,1.83322757613229,1.21,1990,324,68,36,0.111111111111111,6,0.307526057584767,TRUE,"likely a real short core"
"northamerica/mexico/mex147.rwl","PLM111",2009,2018,10,10,0,6,4.89,11.63,6.63163132856025,11.63,2012,157,57,1,0.00636942675159236,10,0.313672952427339,TRUE,"likely a real short core"
"europe/swit285.rwl","GRA09092",1986,1993,8,8,0,1.505,1.34,1.85,1.8789747210174,1.85,1990,324,68,36,0.111111111111111,8,0.315482137089192,TRUE,"likely a real short core"
"europe/swe355.rwl","ESO0204a",2006,2013,8,8,0,0.555,0.36,0.69,3.09596097435172,0.36,2007,95,51,6,0.0631578947368421,8,0.316525859403399,TRUE,"likely a real short core"
"europe/swit277.rwl","BRE89094",1988,1993,6,6,0,2.07,1.29,2.84,1.69066727981217,1.29,1992,294,55,45,0.153061224489796,6,0.331260014894299,TRUE,"likely a real short core"
"europe/swit290.rwl","LAS01084",1987,1992,6,6,0,2.27,1.51,2.63,6.28905781352978,1.51,1992,303,53,24,0.0792079207920792,6,0.334853917890408,TRUE,"likely a real short core"
"europe/fra064.rwl","HFB0128B",2009,2017,9,9,0,1.97,0.01,3.22,10.6549192622057,0.01,2017,98,415.5,2,0.0204081632653061,9,0.34523816222837,TRUE,"likely a real short core"
"europe/swit277.rwl","BRE50108",1984,1993,10,10,0,2.35,1.33,4.2,2.50434018835625,4.2,1986,294,55,45,0.153061224489796,10,0.349075975036549,TRUE,"likely a real short core"
"europe/nor035.rwl","ENS0409B",2004,2013,10,10,0,0.765,0.46,1.03,1.46198322426938,0.46,2004,101,153,10,0.099009900990099,10,0.350581334989043,TRUE,"likely a real short core"
"europe/germ236.rwl","EDL0130a",2002,2009,8,8,0,3.5,1.8,5.5,3.02857226899281,1.8,2003,42,49.5,2,0.0476190476190476,8,0.350963723295026,TRUE,"likely a real short core"
"europe/finl079.rwl","ELA0225a",2002,2011,10,10,0,1.05,0.64,1.43,3.46177403315044,0.64,2003,80,200,2,0.025,10,0.362714467879838,TRUE,"likely a real short core"
"northamerica/usa/mt165.rwl","LY113A",2004,2012,9,9,0,7.06,4.52,15.05,1.47980785191532,15.05,2004,393,75,7,0.0178117048346056,9,0.373996598200619,TRUE,"likely a real short core"
"europe/swit285.rwl","GRA17118",1987,1993,7,7,0,1.8,1.5,2.79,1.62130527188389,2.79,1993,324,68,36,0.111111111111111,7,0.380252274960416,TRUE,"likely a real short core"
"northamerica/usa/nd013.rwl","P083A",2003,2010,8,8,0,4.935,3.21,11.77,2.06812920121389,11.77,2009,649,110,7,0.0107858243451464,8,0.381546140810523,TRUE,"likely a real short core"
"europe/swit277.rwl","BRE15106",1986,1993,8,8,0,1.395,0.9,2.98,2.93559120800627,2.98,1989,294,55,45,0.153061224489796,8,0.382602327016976,TRUE,"likely a real short core"
"northamerica/canada/cana609.rwl","01_53W",2009,2018,10,10,0,1.585,0.76,2.62,2.68364872135822,0.76,2018,222,78,2,0.00900900900900901,10,0.384652686147729,TRUE,"likely a real short core"
"northamerica/usa/mo058.rwl","111052",1940,1949,10,10,0,1.7,1.3,2.52,1.30356253331124,2.52,1942,96,67,1,0.0104166666666667,10,0.391430146086502,TRUE,"likely a real short core"
"europe/fra064.rwl","HFB0128A",2009,2017,9,9,0,1.83,0.31,3.35,3.99316076664195,0.31,2017,98,415.5,2,0.0204081632653061,9,0.39335805421464,TRUE,"likely a real short core"
"europe/finl094.rwl","ELS0147b",2007,2011,5,5,0,1.06,0.61,1.13,5.82810906599624,0.61,2007,98,39,6,0.0612244897959184,5,0.393978219054314,TRUE,"likely a real short core"
"asia/russ238n.rwl","11590272",1993,2000,8,8,0,0.65,0.61,0.77,4.8878943367244,0.77,1993,56,50.5,5,0.0892857142857143,8,0.40064034425533,TRUE,"likely a real short core"
"europe/swit277.rwl","BRE89072",1984,1993,10,10,0,4.97,2.76,5.79,3.12211640768214,2.76,1985,294,55,45,0.153061224489796,10,0.411168848951226,TRUE,"likely a real short core"
"europe/swit290.rwl","LAS14086",1985,1992,8,8,0,3.6,2.22,5.6,2.2029389680449,2.22,1986,303,53,24,0.0792079207920792,8,0.420792099260369,TRUE,"likely a real short core"
"europe/swit285.rwl","GRA35072",1987,1993,7,7,0,3.87,3.5,4.58,1.57097916749665,4.58,1991,324,68,36,0.111111111111111,7,0.421832795058623,TRUE,"likely a real short core"
"europe/swit290.rwl","LAS04092",1988,1992,5,5,0,2.26,1.56,3.79,1.30484992230746,3.79,1989,303,53,24,0.0792079207920792,5,0.424302016137598,TRUE,"likely a real short core"
"northamerica/usa/nd013.rwl","P023B",2006,2010,5,5,0,5.15,1.26,6.7,4.07896537128091,1.26,2006,649,110,7,0.0107858243451464,5,0.425533813097141,TRUE,"likely a real short core"
"europe/nor042.rwl","HNP0231A",2007,2014,8,8,0,2.31,1.97,3.19,2.13696139531318,3.19,2009,87,84,2,0.0229885057471264,8,0.42816338103832,TRUE,"likely a real short core"
"europe/swit285.rwl","GRA17116",1987,1993,7,7,0,2.03,1.35,2.66,1.92784473415216,1.35,1987,324,68,36,0.111111111111111,7,0.433603964064459,TRUE,"likely a real short core"
"europe/finl095.rwl","ELS0221b",2003,2011,9,9,0,0.69,0.46,0.92,3.00623417617135,0.46,2011,93,102,4,0.043010752688172,9,0.437680525255676,TRUE,"likely a real short core"
